,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
251,0.004859733581542969,0.0008023987590702127,0.0028470516204833984,0.00031573669360979975,1,,0.0,0.1,"{'C': 1, 'class_weight': None, 'coef0': 0.0, 'gamma': 0.1}",0.5294117647058824,0.4444444444444444,0.3333333333333333,0.5,0.4444444444444444,0.4503267973856209,0.06705003191232503,164,0.42857142857142855,1.0
252,0.004238510131835937,0.00015488039385823344,0.0024159431457519533,0.00012173433186054161,1,,0.0,0.01,"{'C': 1, 'class_weight': None, 'coef0': 0.0, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,0.42857142857142855,1.0
253,0.0040531158447265625,0.00014163203466505502,0.0023689746856689455,6.266761487858036e-05,1,,0.0,0.001,"{'C': 1, 'class_weight': None, 'coef0': 0.0, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,0.42857142857142855,1.0
254,0.003969955444335938,0.00025547435320636075,0.0024538040161132812,0.00015664169595877271,1,,0.0,0.0001,"{'C': 1, 'class_weight': None, 'coef0': 0.0, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,0.42857142857142855,1.0
255,0.00455784797668457,0.00037697631120790613,0.0025073528289794923,0.00041119221175012617,1,,1.5,1,"{'C': 1, 'class_weight': None, 'coef0': 1.5, 'gamma': 1}",0.4117647058823529,0.5555555555555556,0.3888888888888889,0.6111111111111112,0.3888888888888889,0.47124183006535947,0.09356683411145517,156,0.42857142857142855,1.0
256,0.004227972030639649,0.0002876803113092145,0.0023990154266357424,6.31711880362883e-05,1,,1.5,0.1,"{'C': 1, 'class_weight': None, 'coef0': 1.5, 'gamma': 0.1}",0.23529411764705882,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.0,0.3137254901960784,0.19001518698395842,217,0.42857142857142855,1.0
257,0.005172109603881836,0.0006593947706783683,0.0027153491973876953,0.0002964285337857248,1,,1.5,0.01,"{'C': 1, 'class_weight': None, 'coef0': 1.5, 'gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,0.42857142857142855,1.0
258,0.004830455780029297,0.0002041535066318284,0.0024970054626464845,0.0001459950012515809,1,,1.5,0.001,"{'C': 1, 'class_weight': None, 'coef0': 1.5, 'gamma': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,0.42857142857142855,1.0
259,0.004251337051391602,0.00019571860011552186,0.0024970531463623046,0.00011746761206410877,1,,1.5,0.0001,"{'C': 1, 'class_weight': None, 'coef0': 1.5, 'gamma': 0.0001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,0.42857142857142855,1.0
260,0.0043469429016113285,0.00027175257132685393,0.0023029327392578127,7.607449321971234e-05,1,,3.0,1,"{'C': 1, 'class_weight': None, 'coef0': 3.0, 'gamma': 1}",0.35294117647058826,0.6666666666666666,0.3888888888888889,0.4444444444444444,0.16666666666666666,0.403921568627451,0.16111608259706886,177,0.42857142857142855,1.0
